Clf_Number	Acc_Arab	Acc_Pisum	Acc_Oryza
0.0	0.886	0.9191176470588235	0.8601307189542484
1.0	0.884	0.9264705882352942	0.8549019607843137
2.0	0.884	0.9191176470588235	0.8601307189542484
3.0	0.885	0.9264705882352942	0.857516339869281
4.0	0.887	0.9264705882352942	0.865359477124183
5.0	0.888	0.9117647058823529	0.8588235294117647
6.0	0.886	0.9191176470588235	0.8614379084967321
7.0	0.887	0.9264705882352942	0.8640522875816994
8.0	0.882	0.9191176470588235	0.8614379084967321
9.0	0.883	0.9191176470588235	0.8640522875816994
10.0	0.886	0.9191176470588235	0.8627450980392157
11.0	0.885	0.9044117647058824	0.8640522875816994
12.0	0.885	0.9264705882352942	0.857516339869281
13.0	0.881	0.9117647058823529	0.8601307189542484
14.0	0.888	0.9117647058823529	0.8614379084967321
15.0	0.889	0.9191176470588235	0.8666666666666667
16.0	0.888	0.9264705882352942	0.865359477124183
17.0	0.884	0.9264705882352942	0.857516339869281
18.0	0.886	0.9117647058823529	0.869281045751634
19.0	0.883	0.9264705882352942	0.865359477124183
20.0	0.885	0.9264705882352942	0.8666666666666667
21.0	0.883	0.9117647058823529	0.8601307189542484
22.0	0.885	0.9117647058823529	0.865359477124183
23.0	0.884	0.9191176470588235	0.8627450980392157
24.0	0.887	0.9191176470588235	0.8614379084967321
25.0	0.885	0.9264705882352942	0.865359477124183
26.0	0.883	0.9191176470588235	0.857516339869281
27.0	0.883	0.9044117647058824	0.8640522875816994
28.0	0.886	0.9191176470588235	0.8601307189542484
29.0	0.883	0.9191176470588235	0.8627450980392157
30.0	0.885	0.9191176470588235	0.8601307189542484
31.0	0.886	0.9117647058823529	0.8627450980392157
32.0	0.888	0.9117647058823529	0.8601307189542484
33.0	0.885	0.9191176470588235	0.869281045751634
34.0	0.887	0.9117647058823529	0.8549019607843137
35.0	0.886	0.9264705882352942	0.8679738562091504
36.0	0.888	0.9191176470588235	0.857516339869281
37.0	0.887	0.9191176470588235	0.857516339869281
38.0	0.885	0.9044117647058824	0.865359477124183
39.0	0.884	0.9264705882352942	0.8601307189542484
40.0	0.888	0.9191176470588235	0.865359477124183
41.0	0.888	0.9044117647058824	0.8614379084967321
42.0	0.885	0.9191176470588235	0.8588235294117647
43.0	0.886	0.9191176470588235	0.8588235294117647
44.0	0.893	0.9264705882352942	0.8588235294117647
45.0	0.888	0.9117647058823529	0.8666666666666667
46.0	0.889	0.9117647058823529	0.8601307189542484
47.0	0.885	0.9117647058823529	0.857516339869281
