Clf_Number	Acc_Pisum	Acc_Oryza
0.0	0.9264705882352942	0.8640522875816994
1.0	0.9338235294117647	0.8614379084967321
2.0	0.9264705882352942	0.8588235294117647
3.0	0.9191176470588235	0.857516339869281
4.0	0.9117647058823529	0.8614379084967321
5.0	0.9264705882352942	0.8588235294117647
6.0	0.9264705882352942	0.8627450980392157
7.0	0.9264705882352942	0.8666666666666667
8.0	0.9264705882352942	0.8601307189542484
9.0	0.9191176470588235	0.8627450980392157
10.0	0.9264705882352942	0.8666666666666667
11.0	0.9264705882352942	0.8705882352941177
12.0	0.9191176470588235	0.8640522875816994
13.0	0.9264705882352942	0.8588235294117647
14.0	0.9264705882352942	0.8627450980392157
15.0	0.9264705882352942	0.857516339869281
16.0	0.9191176470588235	0.8640522875816994
17.0	0.9191176470588235	0.8614379084967321
18.0	0.9191176470588235	0.8666666666666667
19.0	0.9117647058823529	0.8627450980392157
20.0	0.9191176470588235	0.85359477124183
21.0	0.9191176470588235	0.8640522875816994
22.0	0.9264705882352942	0.8614379084967321
23.0	0.9338235294117647	0.8640522875816994
24.0	0.9191176470588235	0.857516339869281
25.0	0.9117647058823529	0.8549019607843137
26.0	0.9264705882352942	0.857516339869281
27.0	0.9191176470588235	0.8601307189542484
28.0	0.9191176470588235	0.8614379084967321
29.0	0.9191176470588235	0.8614379084967321
30.0	0.9117647058823529	0.8666666666666667
31.0	0.9117647058823529	0.8627450980392157
32.0	0.9264705882352942	0.8640522875816994
33.0	0.9191176470588235	0.8640522875816994
34.0	0.9117647058823529	0.8601307189542484
35.0	0.9191176470588235	0.8588235294117647
36.0	0.9264705882352942	0.8588235294117647
37.0	0.9264705882352942	0.8640522875816994
38.0	0.9264705882352942	0.8562091503267973
39.0	0.9044117647058824	0.857516339869281
40.0	0.9264705882352942	0.865359477124183
41.0	0.9191176470588235	0.8601307189542484
42.0	0.9191176470588235	0.8496732026143791
43.0	0.9191176470588235	0.8588235294117647
44.0	0.9264705882352942	0.8627450980392157
45.0	0.9264705882352942	0.8679738562091504
46.0	0.9264705882352942	0.8601307189542484
47.0	0.9191176470588235	0.8549019607843137
48.0	0.9191176470588235	0.8588235294117647
49.0	0.9264705882352942	0.8614379084967321
50.0	0.9191176470588235	0.857516339869281
51.0	0.9264705882352942	0.857516339869281
52.0	0.9338235294117647	0.8614379084967321
53.0	0.9117647058823529	0.8588235294117647
54.0	0.9117647058823529	0.8601307189542484
55.0	0.9264705882352942	0.8679738562091504
56.0	0.9117647058823529	0.8614379084967321
57.0	0.9264705882352942	0.8614379084967321
58.0	0.9117647058823529	0.8588235294117647
59.0	0.9264705882352942	0.857516339869281
60.0	0.9191176470588235	0.8640522875816994
61.0	0.9117647058823529	0.869281045751634
62.0	0.9191176470588235	0.8614379084967321
63.0	0.9264705882352942	0.8679738562091504
64.0	0.9264705882352942	0.8588235294117647
65.0	0.9191176470588235	0.857516339869281
66.0	0.9117647058823529	0.8522875816993464
67.0	0.9191176470588235	0.8614379084967321
68.0	0.9191176470588235	0.8601307189542484
69.0	0.9264705882352942	0.8614379084967321
70.0	0.9117647058823529	0.8614379084967321
71.0	0.9117647058823529	0.8666666666666667
72.0	0.9264705882352942	0.857516339869281
73.0	0.9264705882352942	0.8614379084967321
74.0	0.9264705882352942	0.8627450980392157
75.0	0.9264705882352942	0.8666666666666667
76.0	0.9191176470588235	0.857516339869281
77.0	0.9191176470588235	0.8640522875816994
78.0	0.9117647058823529	0.8549019607843137
79.0	0.9191176470588235	0.8627450980392157
80.0	0.9264705882352942	0.865359477124183
81.0	0.9264705882352942	0.8679738562091504
82.0	0.9264705882352942	0.8562091503267973
83.0	0.9044117647058824	0.8640522875816994
84.0	0.9264705882352942	0.8679738562091504
85.0	0.9191176470588235	0.8666666666666667
86.0	0.9191176470588235	0.8627450980392157
87.0	0.9191176470588235	0.8666666666666667
88.0	0.9264705882352942	0.8627450980392157
89.0	0.9191176470588235	0.8562091503267973
90.0	0.9264705882352942	0.8627450980392157
91.0	0.9264705882352942	0.8588235294117647
92.0	0.9117647058823529	0.8588235294117647
93.0	0.9264705882352942	0.8614379084967321
94.0	0.9191176470588235	0.865359477124183
95.0	0.9191176470588235	0.8614379084967321
96.0	0.9264705882352942	0.8640522875816994
97.0	0.9264705882352942	0.8640522875816994
98.0	0.9264705882352942	0.8601307189542484
99.0	0.9191176470588235	0.8666666666666667
100.0	0.9264705882352942	0.8601307189542484
101.0	0.9191176470588235	0.8666666666666667
102.0	0.9117647058823529	0.8601307189542484
103.0	0.9264705882352942	0.8588235294117647
104.0	0.9264705882352942	0.857516339869281
105.0	0.9191176470588235	0.865359477124183
106.0	0.9264705882352942	0.8614379084967321
107.0	0.9191176470588235	0.865359477124183
108.0	0.9117647058823529	0.8601307189542484
109.0	0.9264705882352942	0.8588235294117647
110.0	0.9264705882352942	0.8614379084967321
111.0	0.9191176470588235	0.8614379084967321
112.0	0.9117647058823529	0.8640522875816994
113.0	0.9264705882352942	0.8601307189542484
114.0	0.9117647058823529	0.8601307189542484
115.0	0.9264705882352942	0.8679738562091504
116.0	0.9264705882352942	0.8640522875816994
117.0	0.9264705882352942	0.8601307189542484
118.0	0.9117647058823529	0.8614379084967321
119.0	0.9264705882352942	0.8614379084967321
120.0	0.9264705882352942	0.857516339869281
121.0	0.9117647058823529	0.8588235294117647
122.0	0.9264705882352942	0.8627450980392157
123.0	0.9191176470588235	0.8614379084967321
124.0	0.9264705882352942	0.865359477124183
125.0	0.9264705882352942	0.8627450980392157
126.0	0.9191176470588235	0.8588235294117647
127.0	0.9117647058823529	0.8614379084967321
128.0	0.9264705882352942	0.8614379084967321
129.0	0.9191176470588235	0.865359477124183
130.0	0.9191176470588235	0.8588235294117647
131.0	0.9191176470588235	0.8614379084967321
132.0	0.9338235294117647	0.857516339869281
133.0	0.9264705882352942	0.8627450980392157
134.0	0.9117647058823529	0.865359477124183
135.0	0.9264705882352942	0.869281045751634
136.0	0.9191176470588235	0.857516339869281
137.0	0.9117647058823529	0.8601307189542484
138.0	0.9264705882352942	0.8614379084967321
139.0	0.9264705882352942	0.8614379084967321
140.0	0.9191176470588235	0.865359477124183
